"","subID","N","sigma","H_true","H_subj","noise","lapse","H_subj_EST_avg","H_subj_EST_stder","noise_EST_avg","noise_EST_stder","lapse_EST_avg","lapse_EST_stder","pct_avg","pct_stder"
"211","50_110_0.05_0.05_4_0.05",50,110,0.05,0.05,4,0.05,0.237364494348629,0.0553671074607082,1.29168741143133,0.615590715769545,0.150095568672835,0.0530053056550287,0.588,0.0238886304895586
"221","50_110_0.05_0.05_4.5_0.05",50,110,0.05,0.05,4.5,0.05,0.167173752749029,0.0593916172614377,2.53974478898928,1.15871114007461,0.212579208125846,0.0509880180873498,0.542,0.0246666666666667
"231","50_110_0.05_0.05_5_0.05",50,110,0.05,0.05,5,0.05,0.301644524755503,0.0900647714112044,1.64499808876866,1.08619251686359,0.232675718274991,0.0516250327068163,0.564,0.0135973853695808
"241","50_110_0.05_0.05_5.5_0.05",50,110,0.05,0.05,5.5,0.05,0.237985691045369,0.0680334937023205,0.546622792288903,0.434747100680712,0.231325376312872,0.0562658336708555,0.566,0.0240462517291619
"251","50_110_0.05_0.05_6_0.05",50,110,0.05,0.05,6,0.05,0.400087686797138,0.0899294101662027,1.05141533266604,0.794320208787912,0.2268750816791,0.0595897575330129,0.532,0.0217460085737335
"261","50_110_0.05_0.05_0.01_0.1",50,110,0.05,0.05,0.01,0.1,0.0522833881614928,0.00483194562827277,0.237843344682202,0.106860205738248,0.0867259674538601,0.0164868848854747,0.738,0.029280255007997
"271","50_110_0.05_0.05_0.5_0.1",50,110,0.05,0.05,0.5,0.1,0.0599840499867932,0.00988288748393779,0.456035774560862,0.208989210319799,0.0821168133724313,0.0254531484279584,0.716,0.0234378611083293
"281","50_110_0.05_0.05_1_0.1",50,110,0.05,0.05,1,0.1,0.0532867083546351,0.0128087045760106,1.01559318223505,0.439225977796719,0.0775464006800005,0.0292390062411177,0.672,0.0273577127049109
"291","50_110_0.05_0.05_1.5_0.1",50,110,0.05,0.05,1.5,0.1,0.0904123868383552,0.0498394467909789,1.14653035517744,0.686390297543262,0.160613032829748,0.039358359594073,0.634,0.0326666666666667
"301","50_110_0.05_0.05_2_0.1",50,110,0.05,0.05,2,0.1,0.0856404937172244,0.0498712002836635,1.70588528920267,0.595728693058849,0.151256201080953,0.0412801771947941,0.634,0.0191020650425259
"311","50_110_0.05_0.05_2.5_0.1",50,110,0.05,0.05,2.5,0.1,0.299018780453455,0.0745798747196714,1.17504201018383,0.563721891561928,0.216080267973417,0.0519126076932579,0.58,0.0309838667696593
"321","50_110_0.05_0.05_3_0.1",50,110,0.05,0.05,3,0.1,0.165077443677614,0.0593762268637767,1.50588075964075,0.785732050547734,0.193906525975573,0.0448383607587257,0.582,0.026574841903993
"331","50_110_0.05_0.05_3.5_0.1",50,110,0.05,0.05,3.5,0.1,0.345416642682004,0.117109408801419,0.75753902207495,0.653196675591764,0.246553890449308,0.0347995433745046,0.584,0.0277768888746662
"341","50_110_0.05_0.05_4_0.1",50,110,0.05,0.05,4,0.1,0.265025245607732,0.103910146088799,1.8272409781672,0.999063150552069,0.1913397339909,0.0538572967422751,0.544,0.0279364357863426
"351","50_110_0.05_0.05_4.5_0.1",50,110,0.05,0.05,4.5,0.1,0.23898336866643,0.0911422731748138,2.91675526564755,1.32662106602646,0.16127757004704,0.0373085217968838,0.61,0.0223606797749979
"361","50_110_0.05_0.05_5_0.1",50,110,0.05,0.05,5,0.1,0.43708379922508,0.0725483427589388,0.195192569281182,0.183648657474603,0.241482623098476,0.0557361045801117,0.514,0.0242303757938483
"371","50_110_0.05_0.05_5.5_0.1",50,110,0.05,0.05,5.5,0.1,0.301304995456804,0.110470904733881,0.95729773880801,0.44801579780404,0.238049339927397,0.0538640838203495,0.578,0.00866666666666666
"381","50_110_0.05_0.05_6_0.1",50,110,0.05,0.05,6,0.1,0.538730529068748,0.0998920303340332,0.247111970973636,0.121702678551103,0.31010680623767,0.0449899135257342,0.512,0.0133998341614945
