id,t,pattern
AE03LUY7RH400,T1,3
AE03LUY7RH400,T2,3
AETIZKQNUSBLB,T1,1
AETIZKQNUSBLB,T2,1
AHEJHFN0VV6E3,T1,1
AHEJHFN0VV6E3,T2,1
AHV4U78TUUDKI,T1,4
AHV4U78TUUDKI,T2,4
AJNQ2PBD07FKE,T1,1
AJNQ2PBD07FKE,T2,1
AJZBAP861F6X1,T1,4
AJZBAP861F6X1,T2,4
AKX5RHHO8BIUX,T1,4
AKX5RHHO8BIUX,T2,4
AMC42JMQA8A5U,T1,2
AMC42JMQA8A5U,T2,2
AR1IWBDA7MC86,T1,1
AR1IWBDA7MC86,T2,4
AS9E0S6DBSWH7,T1,1
AS9E0S6DBSWH7,T2,1
ASWZO1WY1UHEP,T1,1
ASWZO1WY1UHEP,T2,3
AXQWKUJF7SQXP,T1,4
AXQWKUJF7SQXP,T2,4
AY45B0YHI4TUP,T1,3
AY45B0YHI4TUP,T2,3
