subID,H_default,m_H,noise_in_DV,lapse_rate,LLRs,pcts_33,pcts_140
A10NF5TK6IFNX6,0.362617260401864,0.271365720143051,0.548855450073605,0.00513916184662584,463.298214758822,98.2470784641068,76.5
A13XXMDHOULEZ7,0.43951023486178,0.925767736884783,1.63242421830906,0.00254807783712152,595.069052950328,98.9166666666667,76.0434056761269
A14A8J5H98KLO6,0.329427228271031,1.18688631951481,1.16802700303513,0.00820122837074368,379.446353231583,98.4974958263773,84.25
A18MC27WTCEBA2,0.507415491752947,-0.0169915047602342,0.14928722272358,0.00333097431041307,246.236489405315,98.4974958263773,68.3333333333333
A1IU5OP7BBZHZ7,0.266566778604373,0.532257695919109,1.07572540087262,0.00503814409365029,546.266423594929,98.8313856427379,74.75
A1IZ4NX41GKU4X,0.473283434438038,0.0175271052005231,0.13673628966165,0.0109949748765858,305.172463571928,98.2470784641068,70.0833333333333
A1JKSAQ8UNCE7B,0.497273068549569,0.00701125729241255,0.184915624326517,0.0051440756286577,300.819411614808,98.8313856427379,69.0833333333333
A1KFIQBETMB81I,0.370232123807172,0.117845736839405,0.343643479288042,0.00548340482816255,398.413918048065,98.4974958263773,73.25
A1MIR0TP081SKT,0.498677674689544,0.0137192447251627,0.176325522907848,0.000100001827113597,230.868314956634,98.6644407345576,70.25
A1NF6PELRKACS9,0.44418671688452,0.0694202279153338,0.192845255626023,0.00171112947120618,255.54713383487,99,72.0367278797997
A1NGXQMOBCXDC3,0.494832350272832,-0.0147521239388922,0.0955530235983776,0.00703908900908305,220.399925384829,99.1652754590985,67.4166666666667
A1PAR1TMKFPKQE,0.354958087260817,0.128406901819073,0.376530999200464,0.00010000035852806,358.666543945853,98.9166666666667,73.0383973288815
A1U0GNE5ELW5V7,0.488198963210373,0.133073798288527,0.361581787948634,0.00219224277362823,398.33747250717,99,73.873121869783
A1XO6ONCCTBMKW,0.499139846449861,0.000854164410093929,0.0935540291972611,0.00896936831919005,238.019086231017,98.7479131886478,68.9166666666667
A21SF3IKIZB0VN,0.499935062822148,0.00260125079581654,0.13640824368816,0.0117348006807104,312.983501995362,98.8313856427379,68.75
A26GF078IX9A43,0.506618693674133,0.00444830432588166,0.130405068179198,0.0126553471044941,315.183780967259,97.9131886477462,69.8333333333333
A28P3ZGZB3XG9P,0.386637594542039,0.990515354840111,1.08342232968067,0.00383118904726664,384.70636842081,99.2487479131887,83
A2BNOEYZ3VRW2R,0.51271860350386,-0.0182928401025068,0.314455283096031,0.0199999998238073,716.18940970523,94.4073455759599,65.1666666666667
A2FZE7CARM54IG,0.358283930597483,0.268836854014814,0.585036400314457,0.00237118479166943,457.591312576336,99,75.4590984974958
A2IPSQ0YYH2A41,0.471803049647198,-0.000143184211069264,0.27585460259416,0.00518202120907789,393.793648301059,98.5,69.1151919866444
A2K7AVZWEC9B14,0.343789527158332,0.432873614196392,0.69621314813933,0.000100000499435106,407.966963748824,99,78.881469115192
A2RR3R75ECQSKE,0.495770297744572,0.000873692649519982,0.136688556756607,0.00644099644416084,263.207691411455,98.5809682804674,68.5833333333333
A2TC1ZFCTOCDA5,0.459417171112712,0.0389280468415922,0.341045276935487,0.00518893555153439,441.776913613212,98.1636060100167,70.25
