ID,trial,block,sigma,H_true,H_subjective,noise_in_DV,lapse_rate,pct
A1KFIQBETMB81I,T1,5,33,0.95,0.602925101781917,0.524002693254529,1.10126006745183e-07,99.5
A1KFIQBETMB81I,T1,2,140,0.05,0.344564781322503,0.11132183204744,0.0319020161346716,79.5
A1KFIQBETMB81I,T1,4,140,0.2,0.315994878801662,0.337498902766991,0.062281817031477,70
A1KFIQBETMB81I,T1,6,140,0.95,0.444920931596596,0.120587586139234,0.0481477432118471,62.5
A1KFIQBETMB81I,T2,1,33,0.05,0.618870635843964,0.00420120405811468,1.10058629843885e-07,98.4924623115578
A1KFIQBETMB81I,T2,3,33,0.2,0.335444607223759,0.0292859597718631,0.00499999376921109,98.5
A1KFIQBETMB81I,T2,5,33,0.95,0.178721976005131,1.13311656105017,1.0235939753414e-07,97
A1KFIQBETMB81I,T2,2,140,0.05,0.15989967757436,0.591825431715166,1.44311718330857e-07,89
A1KFIQBETMB81I,T2,4,140,0.2,0.203509368228414,0.641345069523236,1.31381845769044e-07,73.5
A1KFIQBETMB81I,T2,6,140,0.95,0.407463057628746,0.178424670428427,0.0254883239906866,65
A1LJKHC0NH9TIX,T1,3,33,0.2,0.499996217063703,0.00805912969075454,0.0100502502944706,97.4874371859297
A1LJKHC0NH9TIX,T1,1,33,0.05,0.618870645683259,0.00420202389130264,1.1000829458411e-07,98.5
A1LJKHC0NH9TIX,T1,5,33,0.95,0.604393355250504,0.519127649159474,0.0202493791781136,97.5
A1LJKHC0NH9TIX,T1,6,140,0.95,0.469073320760761,0.0974997720295045,1.13382667241374e-07,65.5
A1LJKHC0NH9TIX,T1,2,140,0.05,0.493870658107058,0.0742149134217946,1.11560619790578e-07,69
A1LJKHC0NH9TIX,T1,4,140,0.2,0.496727165893647,0.110229247494872,1.00140277555242e-07,71
A1LJKHC0NH9TIX,T2,3,33,0.2,0.496754092725566,0.00773850345387146,1.02010050462262e-07,98.4924623115578
A1LJKHC0NH9TIX,T2,1,33,0.05,0.618870645683259,0.00420202389130264,1.1000829458411e-07,98.5
A1LJKHC0NH9TIX,T2,5,33,0.95,0.603416983644667,0.523503358915583,0.00506230361377507,99
A1LJKHC0NH9TIX,T2,6,140,0.95,0.480651938770044,0.108379439678659,1.02980271903987e-07,67
A1LJKHC0NH9TIX,T2,2,140,0.05,0.509940563190326,0.0877672759419337,0.00541871369086429,69.5
A1LJKHC0NH9TIX,T2,4,140,0.2,0.533206228902083,0.0912981186292115,1.00147451954164e-07,69.5
A1MIR0TP081SKT,T1,3,33,0.2,0.496754092725566,0.00773850345387146,1.02010050462262e-07,98.4924623115578
A1MIR0TP081SKT,T1,1,33,0.05,0.618870645683259,0.00420202389130264,1.1000829458411e-07,98.5
A1MIR0TP081SKT,T1,5,33,0.95,0.396472527750481,0.400079702135218,1.02029355577351e-07,99
A1MIR0TP081SKT,T1,6,140,0.95,0.499379016981375,0.131090139783288,1.24517209027609e-07,72
A1MIR0TP081SKT,T1,2,140,0.05,0.449329695258645,0.152561081701945,0.0134448807595942,72.5
A1MIR0TP081SKT,T1,4,140,0.2,0.426255626464814,0.1759118908351,1.05850115048766e-07,67
A1MIR0TP081SKT,T2,3,33,0.2,0.658959139536183,0.0109006921880413,1.10050249917714e-07,97.9899497487437
A1MIR0TP081SKT,T2,1,33,0.05,0.540405101749442,0.450959233044017,1.10187880879473e-07,98.5
A1MIR0TP081SKT,T2,5,33,0.95,0.228586573334463,0.0309170773896867,1.0999993535512e-07,99.5
A1MIR0TP081SKT,T2,6,140,0.95,0.515918608385404,0.108532570625944,0.0201068112035975,70.5
A1MIR0TP081SKT,T2,2,140,0.05,0.5009285284892,0.135213631448952,1.16163549572036e-07,71.5
A1MIR0TP081SKT,T2,4,140,0.2,0.438172563022408,0.126655265978596,0.00715896430526544,68
A1NF6PELRKACS9,T1,6,140,0.95,0.517163659141437,0.0932358618102047,1.0265106562253e-07,68.3417085427136
A1NF6PELRKACS9,T1,2,140,0.05,0.39315407076947,0.161913255447695,0.0263889267169188,77.5
A1NF6PELRKACS9,T1,4,140,0.2,0.27306430860333,0.353676394151043,1.83664967760642e-07,71.5
A1NF6PELRKACS9,T1,3,33,0.2,0.497081689862051,0.00822790350964142,1.09999998248048e-07,98.5
A1NF6PELRKACS9,T1,1,33,0.05,0.294024308542862,0.0428684325330159,1.01999999833203e-07,99
A1NF6PELRKACS9,T1,5,33,0.95,0.602925101781917,0.524002693254529,1.10126006745183e-07,99.5
A1NF6PELRKACS9,T2,6,140,0.95,0.472480097427544,0.0968579843576567,1.15001109200648e-07,69.3467336683417
A1NF6PELRKACS9,T2,2,140,0.05,0.441429737125585,0.181246828294342,0.00938386650097885,74
A1NF6PELRKACS9,T2,4,140,0.2,0.376946908325572,0.212660779937123,0.0270674734896505,71.5
A1NF6PELRKACS9,T2,3,33,0.2,0.497081689862051,0.00822790350964142,1.09999998248048e-07,98.5
A1NF6PELRKACS9,T2,1,33,0.05,0.294024308542862,0.0428684325330159,1.01999999833203e-07,99
A1NF6PELRKACS9,T2,5,33,0.95,0.839516807910165,0.123559424671379,0.00500155408671859,99.5
A1NGXQMOBCXDC3,T1,1,33,0.05,0.294021051904144,0.0428668146725705,1.02010050085507e-07,98.9949748743718
A1NGXQMOBCXDC3,T1,3,33,0.2,0.497081689862051,0.00822790350964142,1.09999998248048e-07,98.5
A1NGXQMOBCXDC3,T1,5,33,0.95,0.768402693869836,0.0651457756354021,1.01999999247e-07,100
A1NGXQMOBCXDC3,T1,2,140,0.05,0.515036474734056,0.119179882001764,0.0173863457888536,68
A1NGXQMOBCXDC3,T1,4,140,0.2,0.456243638550155,0.000594304859098406,0.0349999957931374,68
A1NGXQMOBCXDC3,T1,6,140,0.95,0.495969497684329,0.0932520088510852,0.0524358203871156,62
A1NGXQMOBCXDC3,T2,1,33,0.05,0.294021051904144,0.0428668146725705,1.02010050085507e-07,98.9949748743718
A1NGXQMOBCXDC3,T2,3,33,0.2,0.497081689862051,0.00822790350964142,1.09999998248048e-07,98.5
A1NGXQMOBCXDC3,T2,5,33,0.95,0.768402693869836,0.0651457756354021,1.01999999247e-07,100
A1NGXQMOBCXDC3,T2,2,140,0.05,0.515852317904358,0.115719171955791,1.61484787996378e-07,71
A1NGXQMOBCXDC3,T2,4,140,0.2,0.502845410809502,0.110274366548946,1.15607659250888e-07,69.5
A1NGXQMOBCXDC3,T2,6,140,0.95,0.487499986025425,0.0862778869189763,0.0134256405385183,66
A1PAR1TMKFPKQE,T1,2,140,0.05,0.251329778796225,0.444144014329472,1.13435973543276e-07,81.4070351758794
A1PAR1TMKFPKQE,T1,4,140,0.2,0.154222953937291,0.889760218850734,1.05313943499356e-07,74
A1PAR1TMKFPKQE,T1,6,140,0.95,0.436407630535792,0.174322137865836,0.0112067100530583,62
A1PAR1TMKFPKQE,T1,1,33,0.05,0.618870645683259,0.00420202389130264,1.1000829458411e-07,98.5
A1PAR1TMKFPKQE,T1,3,33,0.2,0.497081689862051,0.00822790350964142,1.09999998248048e-07,98.5
A1PAR1TMKFPKQE,T1,5,33,0.95,0.602925101781917,0.524002693254529,1.10126006745183e-07,99.5
A1PAR1TMKFPKQE,T2,2,140,0.05,0.299960042021992,0.25512027475042,0.0257321110142474,80.4020100502513
