ID,trial,block,sigma,H_true,H_subjective_0,H_subjective_1,H_subjective_2,H_subjective_3,H_subjective_4,H_subjective_5,H_subjective_6,H_subjective_7,H_subjective_8,H_subjective_9,H_subjective_10,noise_in_DV_0,noise_in_DV_1,noise_in_DV_2,noise_in_DV_3,noise_in_DV_4,noise_in_DV_5,noise_in_DV_6,noise_in_DV_7,noise_in_DV_8,noise_in_DV_9,noise_in_DV_10,lapse_rate_0,lapse_rate_1,lapse_rate_2,lapse_rate_3,lapse_rate_4,lapse_rate_5,lapse_rate_6,lapse_rate_7,lapse_rate_8,lapse_rate_9,lapse_rate_10,pct
A10NF5TK6IFNX6,T1,3,33,0.2,0.41073738253427,0.410737385163542,0.410737409811211,0.410737423390852,0.410737473902635,0.410737417054828,0.410737381751937,0.410737350083016,0.410737388059629,0.410737424015477,0.41073742194113,0.634806264806682,0.634806193856362,0.634806156621911,0.634806109507101,0.634806042331596,0.634806106553192,0.63480627826077,0.634806199467868,0.634806173915897,0.634806132835245,0.634806272625755,0.0105437566998913,0.0105437568069259,0.0105437569497861,0.0105437566052463,0.0105437556902238,0.0105437567360661,0.0105437592164152,0.0105437608482704,0.0105437564885203,0.0105437566815359,0.0105437586194359,96.9849246231156
A10NF5TK6IFNX6,T1,1,33,0.05,0.623565930528475,0.623566172388782,0.623566164033379,0.623566162124398,0.623566262223388,0.623566266037431,0.623566271438125,0.623564755996167,0.623566138208033,0.623566025843639,0.623566169553305,0.745693537984396,0.74569250614478,0.745692339952468,0.745692326955556,0.745692274409389,0.745692050374006,0.745690964953421,0.745693809608363,0.74569242341307,0.745692048958819,0.745692344802818,1.02095164071273e-07,1.02099176348378e-07,1.02098804504554e-07,1.02098770644858e-07,1.00104959410606e-07,1.00104960574653e-07,1.10494021456032e-07,1.10494016693612e-07,1.02098811017775e-07,1.02097231308265e-07,1.02098808817845e-07,98
A10NF5TK6IFNX6,T1,5,33,0.95,0.395664104553246,0.395664096661633,0.395664107503868,0.395664102400097,0.395664109952043,0.39566413683863,0.395664101497559,0.395664105415206,0.395664104027127,0.395664107112432,0.395664107773578,0.396725314612412,0.396725275585229,0.396725386380489,0.39672527793816,0.396725373607335,0.396725491860655,0.396725279544944,0.396725285640226,0.396725361246347,0.396725370359401,0.396725353979644,0.0101461263313214,0.0101461247771438,0.0101461263326745,0.01014612475359,0.0101461262739959,0.0101461288579366,0.0101461247421312,0.0101461247334346,0.0101461262996206,0.0101461263006613,0.0101461262667271,98
A10NF5TK6IFNX6,T1,6,140,0.95,0.519933186824329,0.519933190288139,0.519933181827665,0.519933182562009,0.519933182177554,0.519933185601107,0.519933185575988,0.519933182285697,0.519933192573815,0.519933187887846,0.519933186076301,0.313202226225716,0.313202240523183,0.313202232580464,0.31320223485743,0.313202233775415,0.31320223667507,0.313202246944665,0.31320223391844,0.313202284670261,0.313202286204123,0.313202242864413,0.0134638170388206,0.0134638089113477,0.0134638112586444,0.013463810085042,0.0134638106902966,0.0134638106526456,0.0134638075061852,0.0134638102510752,0.0134637949204567,0.0134637901823597,0.0134638074460852,65
A10NF5TK6IFNX6,T1,2,140,0.05,0.157541375185941,0.157541396848144,0.157541383103088,0.157541376459255,0.157541378292804,0.157541376878152,0.157541372387306,0.157541375659016,0.157541524791301,0.144343358042812,0.157541376299843,0.494740525208907,0.494740524085413,0.494740537883739,0.494740632872933,0.494740591413739,0.494740620408181,0.494740615676295,0.494740619590316,0.494738660336182,0.529537077644776,0.494740620178069,1.47792398742982e-07,1.48027901156064e-07,1.47792395029205e-07,1.09567786488261e-07,1.2389496514765e-07,1.09558482621455e-07,1.0955848139058e-07,1.0955848255009e-07,1.05583854557718e-06,0.00249231578668837,1.09558482290444e-07,85.5
A10NF5TK6IFNX6,T1,4,140,0.2,0.111237711201158,0.111237718798291,0.111237724303531,0.111237705218064,0.111237698680447,0.111237711283667,0.111237824238207,0.11123771289812,0.111237713793954,0.111237736330506,0.111237699089108,1.04238228793511,1.04238220931425,1.04238213661796,1.04238220733199,1.04238250867278,1.04238225901874,1.04238044501158,1.04238224718377,1.04238222018833,1.0423818673043,1.0423823635879,1.06728662303127e-07,1.33647196400292e-07,1.33643617836555e-07,1.33814052109425e-07,1.06732142260735e-07,1.06728667615596e-07,7.72862294338425e-07,1.06728663962437e-07,1.33761028463707e-07,2.68216346628022e-07,1.33643259790455e-07,72.5
A10NF5TK6IFNX6,T2,3,33,0.2,0.341946511965666,0.323814254312239,0.423135406431521,0.349737113593633,0.342947550604552,0.271858795848701,0.319540459415823,0.289576731622112,0.320100257266973,0.33081945091874,0.29684341733677,0.0341929632472029,0.0200324857175534,0.0103620702437547,0.00160137100150048,0.0342744165189423,0.0147099338745208,0.0289227012933132,0.0163264106093753,0.00549013996279263,0.0351973414946003,0.026121269487256,1.02010050136667e-07,1.1005024959036e-07,1.10052169691555e-07,1.25617797284039e-07,1.02010050056937e-07,1.10053783826896e-07,1.02010065936384e-07,1.10033121649516e-07,1.00402157647093e-07,1.02010050122459e-07,1.10050249844174e-07,98.9949748743718
A10NF5TK6IFNX6,T2,1,33,0.05,0.33830402795671,0.359881949167051,0.378969407889332,0.347362898068931,0.31239645627586,0.294024308542862,0.26176112335227,0.29368235200981,0.24272244904279,0.407079500061395,0.288375895510083,0.0494574288634403,0.0472465322431481,0.0375288175269303,0.0437624916172699,0.0017283069734759,0.0428684325330159,0.0216910322591182,0.0325938566134912,0.0181587219583607,0.0346238719854483,0.0373419323811824,1.09999998628322e-07,1.0999974361192e-07,1.10000049135427e-07,1.02000009306609e-07,1.26179488298546e-07,1.01999999833203e-07,1.10030309436576e-07,1.02000014047978e-07,1.0200414615373e-07,1.00399999944338e-07,1.09999998794925e-07,99
A10NF5TK6IFNX6,T2,5,33,0.95,0.396070411546425,0.396070402681081,0.396070408762134,0.396070423920978,0.396070410922604,0.396070402276556,0.396070399717869,0.396070399553378,0.396070423196724,0.39607039885172,0.396070410540437,0.39843377728625,0.398433694579481,0.398433779060616,0.398433909087148,0.398433769422287,0.398433695867327,0.398433753645378,0.398433652395633,0.398433925472071,0.398433683979935,0.398433785341952,0.00507320194366468,0.00507320040854894,0.00507320202395285,0.0050732047393917,0.00507320198847803,0.00507320038822155,0.00507320069626444,0.0050732004572029,0.00507320484738201,0.0050732006105962,0.00507320194938688,98.5
A10NF5TK6IFNX6,T2,6,140,0.95,0.86791060621857,0.867910545121505,0.8679105490599,0.867910539146107,0.867910511452454,0.867910545088149,0.867910550821155,0.867910577318123,0.867910544655105,0.739552840882903,0.867910531324626,0.702026712924265,0.702026528466616,0.702026554210051,0.702026557953036,0.702026493976511,0.702026487940649,0.702026562664702,0.70202659860656,0.702026536212045,0.00116856944802425,0.702026506181536,1.10232202574729e-07,1.10232271200378e-07,1.10232207291413e-07,1.10232206871801e-07,1.02046441768537e-07,1.51161022398711e-07,1.10232157250862e-07,1.10232200046358e-07,1.10239141945254e-07,0.214999999266784,1.10232208980239e-07,78
